#Re    B    Pr    Pe    BPe    t    uh_rms    tdisp    mdisp    eta (local)    eta (global)    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    lam_Fr tdisp    lam_Fr mdisp    lam_Fr eta (local)    lam_Fr eta (global)    lam_Fr_vortz tdisp    lam_Fr_vortz mdisp    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (global)    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    turb_Fr tdisp    turb_Fr mdisp    turb_Fr eta (local)    turb_Fr eta (global)    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (global)    vlam    vturb    vlam_Fr    vturb_Fr    vlam_Fr_vortz    vturb_Fr_vortz    wrms    lam wrms    turb wrms    lam_Fr wrms    turb_Fr wrms    lam_Fr_vortz wrms    turb_Fr_vortz wrms    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    vortz_rms    
# Index 000: Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.3513e+01    4.7547e+00    4.0510e+00    3.4445e-03    1.9565e-05    1.6443e+01    3.1395e-02    3.5567e-03    3.6067e-03    2.1250e-05    8.8890e+00    3.6055e-02    7.1209e-03    2.8870e-03    1.4359e-05    3.9772e+01    3.8850e-03    1.0819e-03    3.6511e-03    2.0705e-05    6.4214e+00    4.6014e-02    9.5803e-03    3.2816e-03    1.8712e-05    2.3934e+01    1.1822e-02    2.3400e-03    3.4772e-03    2.0074e-05    1.3308e+01    3.2026e-02    4.5050e-03    2.5104e-03    7.0193e-06    9.3656e+01    6.0959e-04    2.2479e-04    7.5538e-01    2.4462e-01    4.2773e-01    5.7227e-01    9.6097e-01    3.9028e-02    3.3367e-03    2.8533e-03    7.0177e-04    6.0010e-04    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.5057e+01    4.8377e+00    3.9774e+00    5.7081e-03    7.5645e-05    1.5900e+01    6.2788e-02    1.4072e-02    5.8996e-03    8.1518e-05    9.2979e+00    7.1073e-02    2.5628e-02    5.0201e-03    5.6148e-05    3.7819e+01    1.6135e-02    4.4341e-03    6.2210e-03    8.9112e-05    6.7652e+00    8.8976e-02    3.8014e-02    5.3401e-03    6.6699e-05    2.1968e+01    3.6086e-02    9.0261e-03    5.7770e-03    7.8226e-05    1.3074e+01    6.4124e-02    1.7633e-02    3.7657e-03    1.5654e-05    8.1582e+01    1.5329e-03    5.7530e-04    7.6852e-01    2.3148e-01    3.9915e-01    6.0085e-01    9.5875e-01    4.1248e-02    5.8043e-03    4.8121e-03    1.1998e-03    9.9472e-04    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.6556e+01    4.8557e+00    3.7728e+00    9.5243e-03    2.5491e-04    1.4679e+01    1.4075e-01    4.9517e-02    9.9497e-03    2.7518e-04    9.3024e+00    1.5782e-01    8.1511e-02    7.8942e-03    1.8544e-04    3.3103e+01    4.8455e-02    1.6528e-02    1.0162e-02    2.8141e-04    7.2041e+00    1.8906e-01    1.0490e-01    9.0088e-03    2.3473e-04    2.0371e+01    8.7628e-02    3.3413e-02    9.6049e-03    2.5987e-04    1.2737e+01    1.4273e-01    5.7678e-02    6.0793e-03    8.1832e-05    8.2373e+01    1.5987e-02    2.9714e-03    7.7410e-01    2.2590e-01    4.3229e-01    5.6771e-01    9.7212e-01    2.7885e-02    1.0555e-02    7.8939e-03    2.1738e-03    1.6257e-03    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.8151e+01    4.8745e+00    3.6268e+00    2.9928e-02    3.0846e-03    2.2229e+01    3.1669e-01    2.9393e-01    3.0008e-02    3.1140e-03    1.5839e+01    3.4022e-01    3.7100e-01    2.9644e-02    2.9814e-03    4.4643e+01    2.1462e-01    1.6691e-01    2.8205e-02    3.0858e-03    1.1831e+01    3.6898e-01    4.3897e-01    3.1230e-02    3.0836e-03    3.0496e+01    2.6792e-01    2.3274e-01    3.0078e-02    3.1134e-03    2.1244e+01    3.1905e-01    3.0539e-01    1.8025e-02    1.2606e-03    8.4616e+01    7.1845e-02    4.2780e-02    7.7814e-01    2.2186e-01    4.4293e-01    5.5707e-01    9.8445e-01    1.5551e-02    2.8844e-02    2.7416e-02    5.9173e-03    5.6244e-03    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.9754e+01    4.9055e+00    3.4201e+00    7.4323e-02    1.3161e-02    3.0830e+01    5.2145e-01    5.6154e-01    7.6811e-02    1.4582e-02    2.9189e+01    5.6077e-01    5.9979e-01    6.3592e-02    7.5716e-03    3.7287e+01    3.2310e-01    3.7857e-01    7.6684e-02    1.5125e-02    2.5326e+01    5.9294e-01    6.4179e-01    7.2117e-02    1.1382e-02    3.5817e+01    4.4689e-01    4.8805e-01    7.4569e-02    1.3243e-02    3.0253e+01    5.2389e-01    5.6771e-01    4.5018e-02    5.3346e-03    8.5949e+01    1.6541e-01    1.5697e-01    7.9739e-01    2.0261e-01    4.7537e-01    5.2463e-01    9.8965e-01    1.0351e-02    7.7013e-02    6.3448e-02    1.5699e-02    1.2934e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.1257e+01    4.9739e+00    3.3658e+00    1.4112e-01    6.4336e-02    9.8782e+01    6.0774e-01    6.6146e-01    1.4786e-01    7.3768e-02    1.0584e+02    6.4022e-01    6.7648e-01    1.1183e-01    2.8425e-02    7.1916e+01    4.6371e-01    5.4249e-01    1.5263e-01    8.7471e-02    1.1092e+02    6.6080e-01    7.0289e-01    1.2871e-01    4.1423e-02    8.6758e+01    5.5016e-01    5.8888e-01    1.4170e-01    6.4865e-02    9.8954e+01    6.1053e-01    6.6290e-01    7.7614e-02    1.9597e-02    8.4227e+01    2.8644e-01    4.1108e-01    7.9198e-01    2.0802e-01    4.9758e-01    5.0242e-01    9.8830e-01    1.1698e-02    1.5792e-01    1.1582e-01    3.1749e-02    2.3285e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.2562e+01    4.8513e+00    3.8093e+00    2.8919e-01    1.3058e-01    2.4271e+02    6.2997e-01    6.1745e-01    2.9170e-01    1.3944e-01    2.2710e+02    6.5036e-01    6.4813e-01    2.7919e-01    9.6141e-02    3.0341e+02    5.4344e-01    4.8734e-01    2.8936e-01    1.5287e-01    2.2615e+02    6.6371e-01    6.6975e-01    2.8901e-01    1.0717e-01    2.6011e+02    5.9246e-01    5.5278e-01    2.8783e-01    1.3002e-01    2.3092e+02    6.3398e-01    6.2815e-01    3.3637e-01    1.5164e-01    6.8725e+02    4.5400e-01    3.9829e-01    7.9547e-01    2.0453e-01    5.1229e-01    4.8771e-01    9.7415e-01    2.5849e-02    2.8307e-01    3.1026e-01    5.8349e-02    6.3954e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.3735e+01    4.4613e+00    4.1841e+00    4.2238e-01    2.4371e-01    3.5191e+02    6.6341e-01    6.7507e-01    4.0301e-01    2.5129e-01    2.9801e+02    6.8361e-01    7.1669e-01    4.9320e-01    2.1301e-01    5.7053e+02    5.7427e-01    5.2831e-01    3.8905e-01    2.6750e-01    2.7271e+02    6.9615e-01    7.4637e-01    4.5974e-01    2.1472e-01    4.4845e+02    6.2118e-01    5.8957e-01    4.1368e-01    2.4273e-01    3.2305e+02    6.7040e-01    6.9269e-01    5.6756e-01    2.6321e-01    9.2256e+02    5.0583e-01    4.6118e-01    8.0218e-01    1.9782e-01    5.4928e-01    4.5072e-01    9.5185e-01    4.8147e-02    3.6974e-01    6.3595e-01    8.2877e-02    1.4255e-01    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.4789e+01    3.9131e+00    6.9130e+00    5.8736e-01    3.8249e-01    5.4627e+02    6.7472e-01    6.7748e-01    4.9928e-01    3.3763e-01    3.5340e+02    6.9757e-01    7.4134e-01    7.8656e-01    5.1079e-01    1.0979e+03    6.0465e-01    5.8260e-01    4.7104e-01    3.4130e-01    3.1642e+02    7.0859e-01    7.6392e-01    6.9166e-01    4.2712e-01    7.9536e+02    6.3600e-01    6.1701e-01    5.3065e-01    3.4241e-01    4.0260e+02    6.8609e-01    7.1843e-01    9.5550e-01    7.4156e-01    1.8334e+03    5.6276e-01    5.4821e-01    7.4092e-01    2.5908e-01    5.2008e-01    4.7992e-01    8.9959e-01    1.0041e-01    4.4408e-01    1.2357e+00    1.1348e-01    3.1580e-01    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.5922e+01    3.5023e+00    4.2229e+00    3.0455e-01    1.3048e-01    4.0787e+02    5.6730e-01    4.8973e-01    2.9049e-01    1.1843e-01    3.3899e+02    5.7650e-01    5.1173e-01    3.5700e-01    1.8050e-01    6.9361e+02    5.2743e-01    4.3842e-01    2.8519e-01    1.1545e-01    3.1304e+02    5.8464e-01    5.2525e-01    3.3126e-01    1.5285e-01    5.4891e+02    5.4048e-01    4.5515e-01    2.9692e-01    1.2363e-01    3.6735e+02    5.7167e-01    5.0240e-01    4.0426e-01    2.3604e-01    1.0319e+03    4.9506e-01    4.0695e-01    8.0576e-01    1.9424e-01    5.9796e-01    4.0204e-01    9.3903e-01    6.0974e-02    2.8085e-01    4.7689e-01    8.0188e-02    1.3616e-01    
