#Re    B    Pr    Pe    BPe    lb    ub    uh_rms    uh_err    vortz_rms    vortz err    wrms    wrms err    tdisp    tdisp_err    mdisp    mdisp_err    eta (local)    eta (local) err    eta (global)    eta (global) err    lam wrms    lam wrms err    lam tdisp    lam tdisp err    lam mdisp    lam mdisp err    lam eta (local)    lam eta (local) err    lam eta (global)    lam eta (global) err    turb wrms    turb wrms err    turb tdisp    turb tdisp err    turb mdisp    turb mdisp err    turb eta (local)    turb eta (local) err    turb eta (global)    turb eta (global) err    lam_Fr wrms    lam_Fr wrms err    lam_Fr tdisp    lam_Fr tdisp err    lam_Fr mdisp    lam_Fr mdisp err    lam_Fr eta (local)    lam_Fr eta (local) err    lam_Fr eta (global)    lam_Fr eta (global) err    turb_Fr wrms    turb_Fr wrms err    turb_Fr tdisp    turb_Fr tdisp err    turb_Fr mdisp    turb_Fr mdisp err    turb_Fr eta (local)    turb_Fr eta (local) err    turb_Fr eta (global)    turb_Fr eta (global) err    lam_Fr_vortz wrms    lam_Fr_vortz wrms err    lam_Fr_vortz tdisp    lam_Fr_vortz tdisp err    lam_Fr_vortz mdisp    lam_Fr_vortz mdisp err    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (local) err    lam_Fr_vortz eta (global)    lam_Fr_vortz eta (global) err    turb_Fr_vortz wrms    turb_Fr_vortz wrms    turb_Fr_vortz tdisp    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz mdisp err    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (local) err    turb_Fr_vortz eta (global)    turb_Fr_vortz eta (global) err    vlam avg    vlam err    vturb avg    vturb err    vlam_Fr avg    vlam_Fr err    vturb_Fr avg    vturb_Fr err    vlam_Fr_vortz avg    vlam_Fr_vortz err    vturb_Fr_vortz avg    vturb_Fr_vortz err    lam wrms wght    lam wrms wght err    turb wrms wght    turb wrms wght err    lam wrms eff wght    lam wrms eff wght    turb wrms eff wght    turb wrms eff wght    
6.0000e+02    1.0000e+00    1.0000e-01    6.0000e+01    6.0000e+01    4.5000e+01    1.2500e+02    2.0401e+00    1.7592e-01    8.0615e+00    1.2073e+00    6.4563e-01    7.7742e-02    6.0393e+00    1.2286e+00    2.1182e+02    6.2615e+01    3.6704e-01    1.2612e-02    2.2620e-01    2.0495e-02    5.7340e-01    6.5253e-02    6.0698e+00    1.2366e+00    9.8210e+01    2.4634e+01    4.6170e-01    1.1279e-02    3.8438e-01    1.9793e-02    6.5983e-01    7.8888e-02    6.0334e+00    1.2340e+00    2.3525e+02    6.7570e+01    3.4350e-01    1.1004e-02    2.0779e-01    1.8189e-02    5.7230e-01    6.5128e-02    6.0967e+00    1.2409e+00    9.7519e+01    1.2409e+00    4.6399e-01    1.1455e-02    3.8713e-01    1.9988e-02    6.5530e-01    7.8369e-02    6.0315e+00    1.2320e+00    2.2757e+02    6.5772e+01    3.5102e-01    1.1369e-02    2.1333e-01    1.8669e-02    5.7544e-01    6.5526e-02    6.0293e+00    1.2282e+00    9.9518e+01    2.4912e+01    4.5759e-01    1.1069e-02    3.7966e-01    1.9666e-02    6.6659e-01    7.9760e-02    6.0433e+00    1.2380e+00    2.4715e+02    7.0462e+01    3.3241e-01    1.0774e-02    1.9997e-01    1.7682e-02    1.7595e-01    1.7854e-02    8.2405e-01    1.7854e-02    1.2522e-01    1.4775e-02    8.7478e-01    1.4775e-02    2.4495e-01    2.4797e-02    7.5505e-01    2.4797e-02    5.7048e-01    6.3839e-02    8.4097e-01    1.1199e-01    2.8096e-01    3.3224e-02    4.1367e-01    5.2584e-02    



# Index 006: Re = 1000.00, Pe = 100.00
1.0000e+03    1.0000e+02    1.0000e-01    1.0000e+02    1.0000e+04    4.0000e+01    7.0000e+01    2.1316e+00    8.5065e-02    3.8532e+00    2.1586e-01    2.5488e-01    1.3940e-02    1.7848e-01    1.7947e-02    2.1998e+02    6.9289e+00    5.1953e-01    1.6030e-02    4.4690e-01    2.1549e-02    2.3117e-01    1.1643e-02    1.5220e-01    1.5410e-02    1.6630e+02    2.5399e+00    5.3207e-01    1.6799e-02    4.7668e-01    2.4354e-02    3.2122e-01    1.5664e-02    2.6552e-01    1.8682e-02    3.9796e+02    1.2747e+01    4.7564e-01    1.7791e-02    3.9993e-01    2.1937e-02    2.2783e-01    1.1921e-02    1.4715e-01    1.5372e-02    1.5931e+02    1.5372e-02    5.3461e-01    1.7047e-02    4.7888e-01    2.4607e-02    2.9271e-01    1.4660e-02    2.2797e-01    1.7860e-02    3.1603e+02    1.1250e+01    4.9474e-01    1.7380e-02    4.1866e-01    2.2436e-02    2.3637e-01    1.1750e-02    1.5826e-01    1.5785e-02    1.7676e+02    2.6721e+00    5.2796e-01    1.6616e-02    4.7124e-01    2.3994e-02    3.6553e-01    1.9062e-02    3.3142e-01    2.4132e-02    5.4644e+02    2.5656e+01    4.5102e-01    1.7584e-02    3.7738e-01    2.1579e-02    7.6820e-01    1.8288e-02    2.3180e-01    1.8288e-02    6.1255e-01    2.4801e-02    3.8745e-01    2.4801e-02    8.8277e-01    1.2700e-02    1.1723e-01    1.2700e-02    2.2534e-01    1.2123e-02    4.6143e-01    3.9887e-02    1.0584e-01    6.4217e-03    2.1628e-01    1.3995e-02    
# Index 007: Re = 1000.00, Pe = 100.00
1.0000e+03    1.0000e+01    1.0000e-01    1.0000e+02    1.0000e+03    7.0000e+01    1.1000e+02    1.5961e+00    7.2416e-02    6.5564e+00    5.8006e-01    4.4039e-01    4.7314e-02    1.5618e+00    2.9931e-01    1.6459e+02    2.4411e+01    5.4735e-01    1.3550e-02    4.8491e-01    1.8030e-02    4.0193e-01    3.9921e-02    1.4534e+00    2.7011e-01    8.3921e+01    9.7535e+00    6.2407e-01    1.4945e-02    6.3092e-01    2.3724e-02    4.5785e-01    4.9689e-02    1.6143e+00    3.1055e-01    2.0370e+02    2.8831e+01    5.0553e-01    1.4856e-02    4.3998e-01    1.8085e-02    4.0101e-01    3.9819e-02    1.4555e+00    2.7040e-01    8.2819e+01    2.7040e-01    6.2710e-01    1.4869e-02    6.3432e-01    2.3608e-02    4.5366e-01    4.9114e-02    1.6000e+00    3.0778e-01    1.9395e+02    2.7927e+01    5.1538e-01    1.4979e-02    4.4996e-01    1.8388e-02    4.0329e-01    4.0093e-02    1.4505e+00    2.7000e-01    8.5584e+01    9.9082e+00    6.1966e-01    1.4963e-02    6.2587e-01    2.3784e-02    4.6345e-01    5.0458e-02    1.6356e+00    3.1424e-01    2.1716e+02    3.0062e+01    4.9276e-01    1.4643e-02    4.2742e-01    1.7761e-02    3.2908e-01    1.7123e-02    6.7092e-01    1.7123e-02    2.6639e-01    1.5076e-02    7.3361e-01    1.5076e-02    4.0237e-01    2.1755e-02    5.9763e-01    2.1755e-02    3.9795e-01    3.9892e-02    5.5938e-01    6.7931e-02    2.4965e-01    2.6388e-02    3.5069e-01    4.2257e-02    



# Index 008: Re = 300.00, Pe =  30.00
3.0000e+02    1.0000e+01    1.0000e-01    3.0000e+01    3.0000e+02    5.0000e+01    2.5000e+02    1.6454e+00    1.1232e-01    3.7508e+00    4.3859e-01    4.5346e-01    4.8937e-02    6.7952e-01    1.3187e-01    6.1752e+01    1.2666e+01    5.6453e-01    9.9266e-03    5.2416e-01    1.8293e-02    4.1739e-01    4.1803e-02    6.4215e-01    1.3062e-01    3.8872e+01    6.3335e+00    6.1854e-01    1.0819e-02    6.2090e-01    1.9949e-02    4.8284e-01    5.2643e-02    7.1292e-01    1.3330e-01    8.1584e+01    1.5867e+01    5.1198e-01    9.0694e-03    4.6648e-01    1.8554e-02    4.1570e-01    4.1371e-02    6.4311e-01    1.3159e-01    3.8182e+01    1.3159e-01    6.2256e-01    1.1221e-02    6.2535e-01    2.0622e-02    4.7492e-01    5.1307e-02    7.0234e-01    1.3200e-01    7.5899e+01    1.4694e+01    5.2567e-01    9.5192e-03    4.8065e-01    1.8375e-02    4.1995e-01    4.2543e-02    6.4136e-01    1.2946e-01    3.9933e+01    6.5761e+00    6.1276e-01    1.0212e-02    6.1443e-01    1.9003e-02    4.9388e-01    5.4549e-02    7.2991e-01    1.3602e-01    9.0042e+01    1.7762e+01    4.9364e-01    9.1007e-03    4.4804e-01    1.9224e-02    4.7047e-01    3.1541e-02    5.2953e-01    3.1541e-02    3.8175e-01    3.5228e-02    6.1825e-01    3.5228e-02    5.6957e-01    2.8333e-02    4.3043e-01    2.8333e-02    4.1219e-01    4.1222e-02    5.8066e-01    7.3969e-02    2.5054e-01    1.8779e-02    3.5268e-01    3.6739e-02    


