#Re    B    Pr    Pe    BPe    lb    ub    uh_rms    uh_err    vortz_rms    vortz err    wrms    wrms err    tdisp    tdisp_err    mdisp    mdisp_err    eta (local)    eta (local) err    eta (global)    eta (global) err    lam wrms    lam wrms err    lam tdisp    lam tdisp err    lam mdisp    lam mdisp err    lam eta (local)    lam eta (local) err    lam eta (global)    lam eta (global) err    turb wrms    turb wrms err    turb tdisp    turb tdisp err    turb mdisp    turb mdisp err    turb eta (local)    turb eta (local) err    turb eta (global)    turb eta (global) err    lam_Fr wrms    lam_Fr wrms err    lam_Fr tdisp    lam_Fr tdisp err    lam_Fr mdisp    lam_Fr mdisp err    lam_Fr eta (local)    lam_Fr eta (local) err    lam_Fr eta (global)    lam_Fr eta (global) err    turb_Fr wrms    turb_Fr wrms err    turb_Fr tdisp    turb_Fr tdisp err    turb_Fr mdisp    turb_Fr mdisp err    turb_Fr eta (local)    turb_Fr eta (local) err    turb_Fr eta (global)    turb_Fr eta (global) err    lam_Fr_vortz wrms    lam_Fr_vortz wrms err    lam_Fr_vortz tdisp    lam_Fr_vortz tdisp err    lam_Fr_vortz mdisp    lam_Fr_vortz mdisp err    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (local) err    lam_Fr_vortz eta (global)    lam_Fr_vortz eta (global) err    turb_Fr_vortz wrms    turb_Fr_vortz wrms    turb_Fr_vortz tdisp    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz mdisp err    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (local) err    turb_Fr_vortz eta (global)    turb_Fr_vortz eta (global) err    vlam avg    vlam err    vturb avg    vturb err    vlam_Fr avg    vlam_Fr err    vturb_Fr avg    vturb_Fr err    vlam_Fr_vortz avg    vlam_Fr_vortz err    vturb_Fr_vortz avg    vturb_Fr_vortz err    lam wrms wght    lam wrms wght err    turb wrms wght    turb wrms wght err    lam wrms eff wght    lam wrms eff wght    turb wrms eff wght    turb wrms eff wght    
6.0002e+02    1.0000e+03    1.0000e-01    6.0002e+01    6.0002e+04    5.0000e+02    9.0000e+02    3.3917e+00    2.4216e-01    2.1632e+00    4.3564e-01    3.9628e-02    2.7957e-02    6.9961e-03    2.5481e-03    4.3143e+02    6.8914e+01    3.0787e-01    1.6944e-02    1.3654e-01    2.6474e-02    3.6373e-02    2.1203e-02    6.5585e-03    1.9016e-03    4.1121e+02    5.5721e+01    3.0826e-01    1.7159e-02    1.3571e-01    2.3563e-02    1.1156e-01    1.3512e-01    3.3150e-02    2.9468e-02    1.8649e+03    6.9367e+02    2.7166e-01    7.5109e-02    1.3997e-01    6.2365e-02    3.4123e-02    1.8105e-02    5.3840e-03    1.3368e-03    3.8270e+02    1.3368e-03    2.9930e-01    1.6902e-02    1.2244e-01    1.9761e-02    6.1319e-02    6.0705e-02    1.7371e-02    9.1876e-03    7.3765e+02    1.9403e+02    3.6558e-01    3.0150e-02    1.8531e-01    4.2619e-02    3.7991e-02    2.4216e-02    6.8302e-03    2.1968e-03    4.2533e+02    6.2418e+01    3.0792e-01    1.6968e-02    1.3604e-01    2.5150e-02    2.5555e-01    2.4000e-01    8.2932e-02    7.9818e-02    4.9982e+03    2.0636e+03    1.8475e-01    1.1305e-01    1.3457e-01    9.2299e-02    9.8760e-01    9.6299e-03    1.2396e-02    9.6299e-03    8.6929e-01    4.3475e-02    1.3071e-01    4.3475e-02    9.9865e-01    2.7900e-03    1.3514e-03    2.7900e-03    3.1687e-02    1.6291e-02    1.0930e-01    1.7242e-01    9.3029e-03    4.6805e-03    3.1595e-02    4.9137e-02    
# Index 006: Re = 600.02, Pe =  60.00
6.0002e+02    3.0000e+01    1.0000e-01    6.0002e+01    1.8001e+03    3.7500e+02    5.6000e+02    2.8072e+00    2.2242e-01    7.9671e+00    1.4500e+00    4.7028e-01    7.3724e-02    6.7111e-01    1.6975e-01    2.9455e+02    7.7366e+01    5.0271e-01    1.3206e-02    4.0681e-01    1.7792e-02    4.0850e-01    5.7853e-02    5.4320e-01    1.2996e-01    1.4260e+02    2.5777e+01    5.6153e-01    1.7288e-02    5.3029e-01    2.2995e-02    5.0580e-01    7.8087e-02    7.5247e-01    1.8292e-01    3.9046e+02    9.3498e+01    4.6016e-01    1.2156e-02    3.6639e-01    1.6133e-02    4.0536e-01    5.7454e-02    5.3426e-01    1.2975e-01    1.3778e+02    1.2975e-01    5.6554e-01    1.7735e-02    5.3460e-01    2.3509e-02    4.8955e-01    7.5796e-02    7.1562e-01    1.7595e-01    3.4493e+02    8.5095e+01    4.7986e-01    1.2382e-02    3.8388e-01    1.6145e-02    4.1565e-01    5.9012e-02    5.5922e-01    1.3172e-01    1.5406e+02    2.7597e+01    5.5163e-01    1.6791e-02    5.1841e-01    2.2366e-02    5.3521e-01    8.3059e-02    8.2064e-01    1.9823e-01    4.8193e+02    1.1304e+02    4.2608e-01    1.2469e-02    3.3810e-01    1.7401e-02    3.9842e-01    4.9033e-02    6.0158e-01    4.9033e-02    2.5339e-01    4.1193e-02    7.4661e-01    4.1193e-02    5.8143e-01    5.1562e-02    4.1857e-01    5.1562e-02    4.0310e-01    5.6926e-02    7.0409e-01    1.4256e-01    1.4379e-01    1.8222e-02    2.5009e-01    4.2435e-02    
# Index 007: Re = 600.02, Pe =  60.00
6.0002e+02    3.0000e+03    1.0000e-01    6.0002e+01    1.8001e+05    6.5000e+02    9.0000e+02    2.8027e+00    2.7788e-01    1.8208e+00    1.8464e-01    1.2377e-02    1.8448e-03    1.6178e-03    3.7721e-04    3.5325e+02    7.4608e+01    2.8852e-01    1.6698e-02    1.2127e-01    1.5001e-02    1.2369e-02    1.8373e-03    1.6119e-03    3.7259e-04    3.5220e+02    7.3206e+01    2.8850e-01    1.6616e-02    1.2117e-01    1.4897e-02    1.7593e-02    6.9627e-03    1.1467e-02    6.0062e-03    1.4560e+03    1.9299e+03    3.7735e-01    2.5860e-01    3.4461e-01    2.5968e-01    1.2218e-02    1.7378e-03    1.4942e-03    3.0242e-04    3.4402e+02    3.0242e-04    2.8417e-01    1.6416e-02    1.1587e-01    1.3966e-02    1.6770e-02    4.0868e-03    6.6037e-03    1.6712e-03    5.9354e+02    3.1811e+02    4.6245e-01    6.8581e-02    2.7760e-01    9.3261e-02    1.2377e-02    1.8448e-03    1.6178e-03    3.7721e-04    3.5325e+02    7.4608e+01    2.8852e-01    1.6698e-02    1.2127e-01    1.5001e-02    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    9.9929e-01    1.3539e-03    7.0931e-04    1.3539e-03    9.7563e-01    1.5950e-02    2.4373e-02    1.5950e-02    1.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    1.0323e-02    1.8096e-03    1.5371e-02    2.3300e-03    3.6746e-03    3.9363e-04    5.4857e-03    6.0074e-04    
# Index 008: Re = 600.02, Pe =  60.00
6.0002e+02    4.0000e+02    1.0000e-01    6.0002e+01    2.4001e+04    2.2500e+02    4.6000e+02    2.9019e+00    1.9881e-01    2.8975e+00    8.9572e-01    1.1460e-01    5.5124e-02    2.3756e-02    1.0722e-02    4.0528e+02    6.3912e+01    3.4832e-01    2.0795e-02    1.8271e-01    4.2325e-02    9.6905e-02    3.8314e-02    1.9428e-02    6.4812e-03    3.6226e+02    3.9026e+01    3.4823e-01    2.0362e-02    1.7301e-01    3.5187e-02    2.5882e-01    1.4504e-01    8.7909e-02    5.0213e-02    1.1018e+03    2.8098e+02    3.4465e-01    4.3441e-02    2.2736e-01    6.4853e-02    9.1504e-02    3.4489e-02    1.6613e-02    5.3079e-03    3.4461e+02    5.3079e-03    3.4095e-01    1.9489e-02    1.5876e-01    3.2097e-02    1.7421e-01    9.5956e-02    5.1073e-02    2.6532e-02    6.4442e+02    1.5158e+02    3.7735e-01    2.6976e-02    2.2991e-01    5.1156e-02    1.0287e-01    4.3206e-02    2.1105e-02    7.6739e-03    3.7870e+02    4.5034e+01    3.4859e-01    2.0760e-02    1.7775e-01    3.8216e-02    3.9213e-01    2.1583e-01    1.6973e-01    9.8047e-02    2.1205e+03    5.3663e+02    3.0314e-01    6.9864e-02    2.2670e-01    7.7618e-02    9.4691e-01    2.4188e-02    5.3086e-02    2.4188e-02    8.0666e-01    4.9529e-02    1.9334e-01    4.9529e-02    9.8599e-01    1.0429e-02    1.4008e-02    1.0429e-02    8.8772e-02    3.2244e-02    4.0183e-01    2.7527e-01    3.0477e-02    1.0429e-02    1.3684e-01    9.1325e-02    
# Index 009: Re = 600.02, Pe =  60.00
6.0002e+02    6.0000e+03    1.0000e-01    6.0002e+01    3.6001e+05    4.0000e+01    1.8000e+02    2.3019e+00    1.2133e-01    1.7268e+00    9.4407e-02    7.3038e-03    7.0076e-04    5.3553e-04    8.0599e-05    2.3937e+02    1.8518e+01    2.9720e-01    1.7625e-02    1.1831e-01    1.4526e-02    7.2987e-03    6.8960e-04    5.3354e-04    7.7769e-05    2.3927e+02    1.8485e+01    2.9712e-01    1.7529e-02    1.1798e-01    1.4069e-02    1.0133e-02    6.3117e-03    6.1226e-03    2.6608e-03    4.2446e+02    2.0954e+02    4.8346e-01    1.4168e-01    4.5410e-01    1.4309e-01    7.2007e-03    5.9121e-04    4.9167e-04    5.8910e-05    2.3752e+02    5.8910e-05    2.9414e-01    1.6655e-02    1.1055e-01    1.1011e-02    1.2245e-02    3.3981e-03    4.4757e-03    1.1218e-03    3.8939e+02    1.4108e+02    5.1535e-01    4.4006e-02    4.1549e-01    5.6312e-02    7.3038e-03    7.0076e-04    5.3553e-04    8.0599e-05    2.3937e+02    1.8518e+01    2.9720e-01    1.7625e-02    1.1831e-01    1.4526e-02    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    9.9971e-01    9.0589e-04    2.9379e-04    9.0589e-04    9.8889e-01    6.6722e-03    1.1115e-02    6.6722e-03    1.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    5.2898e-03    5.7902e-04    1.1453e-02    1.9935e-03    2.2978e-03    2.0981e-04    4.9564e-03    6.6517e-04    

